"track_id","track_name","duration","explicit"
"0N1sqwppd1BwhNdjcIDEG2","Blauwe Dag","182694","0"
"7ef4DlsgrMEH11cDZd32M6","One Kiss (with Dua Lipa)","214846","0"
"3ebaeB2BdCEgZmwKv7p2r5","Reste","231520","0"
"40mjsnRjCpycdUw3xhS20g","GATTI","181144","1"
"5v1ngTQTFEjKEirsiaKsvQ","Lamborghini","209379","0"
"0iIAmOd9IVJK5KZ7hx8eS5","Poludyavash","196200","0"
"1iIIsJlKQW7E4eLw7x5XOI","Piyan","227848","0"
"197aNKfFNy02if3CpWStRI","Излъжи ме","226753","0"
"11VyWPLK8nQqZEpsg2rkww","Майко Майко","161476","0"
"4QVBJZKMRLl2XsSDGbsf7D","Taka ni se pada","228837","0"
"1gcVQukmyakNQHHLSPbxH2","Куча марка","187995","1"
"0gkH2x7PQIPz4majlHkAqr","Koy","211764","0"
"51iXf0uczhZaNjva8wADBv","Ella Ella","165142","0"
"5wcPNdRpptulbKgLljGjMh","Panika","209666","0"
"62zKJrpbLxz6InR3tGyr7o","JACKBOYS","46836","1"
"3bBIcLfShA5RAGmlwebWqw","Imam Chovek","210000","1"
"6Mz5CHGtDObrnB7RmH2WeI","Angelat","267128","0"
"3otHC1sWkNLtiU6QFx2cJY","Dusho moya","214615","0"
"4ix0ntu244dcdAoSml7trs","Paranoya","192653","0"
"0ypYK4kpq4ePvYyxZFrJuN","Bravo","191953","1"
"3RaNeu1vy6xooSAYm6h1UQ","Dobre li si","237707","0"
"1O8d9uUWkkVhs3OD0bbE0V","1 Kym 1","220000","0"
"0ZqakYho8fupx0NyVcWg1M","Gorilla","169714","0"
"6fcPuGEcPN6oq7DCLocYU0","Te Amo","186775","0"
"6gBFPUFcJLzWGx4lenP6h2","goosebumps","243836","1"
"4HMiW3eARgvjdCqmhuMJ1V","Vartelezhkata","213333","0"
"6dLlspYfiur5j8R3u1Sua6","Bolka moya","239200","0"
"56AMYGJzxBO6p8v0wEe9de","Hot (Remix) [feat. Gunna and Travis Scott]","279906","1"
"4kV4N9D1iKVxx1KLvtTpjS","break up with your girlfriend, i'm bored","190440","1"
"07TkTJMhNQdCt9Aq09nVTl","Katastrofa","217988","0"
"79J8ETyLFUdFTDZHXNNKie","Akula","211000","0"
"2ZNTZ6YvhoXhoKV7DWOm51","Superintro","123085","1"
"00xxLYArclw9ACfboY8cl8","Вс искат да са лоши","186760","1"
"3SEPI4YkmPsiDutWBjZjmZ","Gladen","188000","1"
"69zyifKelGUoEBEKfCX5ri","Fenomenalen","211000","0"
"4efLhkYJJf2R6WhbwpFi85","Black Panther (feat. Rafal)","237423","1"
"5toNqUDZ7cQupMdUK6pM8a","Sled 1000 zheni","225000","0"
"6IRdLKIyS4p7XNiP8r6rsx","all the good girls go to hell","168839","0"
"6o9F8qsYr6SfBNv1U9NO6b","Ne te zabravyam","186581","0"
"6GWyQNNGkF7R2oGonZ6abX","Не ме наричай скъпа (feat. Lidia)","194138","0"
"1cVlW9WQiGlFdWUXFdFZGh","Pa' Olvidarme De Ella","227233","1"
"059bcIhyc2SBwm6sw2AZzd","Te Vi","231848","0"
"0x1k6gSTSxaLxe0F2IThaX","Detente","181845","0"
